country,i1990,i1995,i2000,i2005,i2010,i2015,i2020,e1990,e1995,e2000,e2005,e2010,e2015,e2020,g1990,g1995,g2000,g2005,g2010,g2015,g2020
Afghanistan,7679582,4347049,4750677,4116739,5269518,5400916,5853838,57686,71522,75917,87314,102276,339432,144098,0,0,0,11.22971482,14.36244147,1.45131466,-2.351100673
Albania,180204,501066,824442,966032,1117940,1142844,1250451,66013,71354,76695,64739,52784,52031,48810,-9.57564017,13.32233332,6.946216592,5.526424247,3.706938153,2.218726375,-3.481630373
Algeria,921665,979641,1037985,1599647,1655264,1836502,2022337,273954,262032,250110,197728,217268,239473,250378,0.80000058,3.79999479,3.8,5.9,3.6,3.7,-5.1
American Samoa,2041,2638,3186,2588,2157,1961,1832,21283,23098,24912,24233,23555,23513,23608,0,0,0,-0.408163265,0.299850075,3.149606299,5.065359477
Andorra,3740,4142,5575,5727,7909,8740,11132,38891,44206,42147,50298,52053,42264,45574,3.781387586,2.757501613,3.528362361,5.397795985,-1.974958,1.434140395,-11.18393994
Angola,824886,688581,913206,716766,651383,618288,668066,33517,39813,46108,62331,336367,632178,656434,-3.450098685,15.00000003,3.054624234,15.02999999,4.859999999,0.939999999,-5.6
Antigua and Barbuda,21382,26965,32782,36398,41347,52189,66561,12029,17550,23071,24741,26412,28082,29386,3.011714684,-4.359587382,6.203431254,6.473831316,-7.840594744,3.825293099,-20.19237057
Argentina,430155,481968,555542,805291,938639,943843,1076148,1649919,1595069,1540219,1674163,1805957,2086301,2281728,-2.467213778,-2.845209611,-0.788998939,8.85165992,10.12539816,2.731159828,-9.943235134
Armenia,899678,901859,877148,900648,917043,944520,958190,658789,693999,657900,469189,211147,191199,190349,0,6.89999842,5.900000003,13.9,2.2,3.199999999,-7.2
Aruba,899678,901859,877148,900648,917043,944520,958190,658789,693999,657900,469189,211147,191199,190349,3.961401727,2.547143687,7.616589113,-0.384927066,-2.732595966,3.54362966,-18.58909978
Australia,5887,6705,7662,9482,13524,16621,21456,14444,22274,30104,32540,34328,36114,53593,3.576485761,3.887106294,3.901171371,3.15375271,2.20656631,2.152735906,-0.050885336
Austria,505214,490045,478091,493349,517401,515234,600740,793239,894893,996547,1127164,1274901,1483123,1738183,4.345641399,2.667983531,3.375722147,2.244065325,1.837093677,1.014501586,-6.453968467
Azerbaijan,505214,490045,478091,493349,517401,515234,600740,793239,894893,996547,1127164,1274901,1483123,1738183,0,-11.79999911,11.09999914,27.96153811,5.048944513,1.093975916,-4.300000102
"Bahamas, The",25137,29594,34301,34715,35990,42965,53793,26855,31654,36454,45531,54745,59241,63583,-1.596249087,4.37875209,4.149234046,3.395260082,1.538385972,0.996800846,-23.82260759
Bahrain,12817,26014,47736,51835,52235,56721,58270,173212,205979,239361,404018,666406,722487,936094,4.437997176,3.929991545,5.300070056,6.768997871,4.334299173,2.485378558,-4.935854979
Bangladesh,5450443,5423528,5441094,5492474,6319871,6831282,7401763,881617,934735,987853,1062270,1345546,1422179,2115408,5.622258162,5.121277897,5.293294719,6.535944941,5.571788188,6.552639879,3.448021455
Barbados,84766,89612,94998,92975,96193,101879,99611,24024,26224,28424,30624,32825,34475,34869,-3.307593308,2.013998,4.447189623,3.955457604,-2.365164703,2.472619872,-13.31102153
Belarus,1767600,1736493,1685646,1581160,1464702,1469882,1483626,1248977,1186282,1123586,1106982,1090378,1082905,1067090,0,-10.40000049,5.80000344,9.400001524,7.798266823,-3.829570558,-0.699607614
Belgium,363970,374734,398864,437701,484032,515793,577463,1280583,1288003,1268368,1248733,1503806,1783488,2005479,3.137402316,2.38475728,3.716679384,2.321737054,2.864292708,2.041459009,-5.361386633
Belize,36101,41950,48211,51883,57371,63099,52756,30404,33446,36488,41438,46390,54615,62043,11.44338873,0.640078779,13.00578035,2.198437952,1.25634857,3.367633302,-13.40295909
Benin,234314,275696,328046,504165,541152,634923,681827,76751,105703,134655,248320,309225,366284,394276,8.97613436,6.04519865,5.857714205,1.713164564,2.114064726,1.77815106,3.848523092
Bermuda,234314,275696,328046,504165,541152,634923,681827,76751,105703,134655,248320,309225,366284,394276,0.019212297,4.39914833,9.317156411,1.674206114,-2.502878289,0.7755297,-6.837955191
Bhutan,28461,117967,120183,120319,91934,51391,51998,23807,27972,32137,40279,48420,51106,53612,10.38311792,7.074117278,3.355068285,7.287249352,11.945896,6.642232105,-10.00969926
Bolivia,28461,117967,120183,120319,91934,51391,51998,23807,27972,32137,40279,48420,51106,53612,4.635787428,4.678276597,2.507810809,4.421433127,4.126722591,4.8571873,-8.737884434
Bosnia and Herzegovina,861760,1372526,1496691,1501036,1572925,1593430,1687639,56000,69476,82952,47287,38945,38597,36042,0,20.79999754,12.76546946,3.89717799,0.86566926,3.089162709,-3.119290515
Botswana,26048,23315,26683,33281,44249,55294,63561,27510,40168,74934,84661,94863,103053,110268,6.772821949,7.030410309,1.987695751,4.556645673,10.12220912,-4.850991817,-8.726408626
Brazil,491359,730491,940458,1194575,1495404,1504231,1897128,798517,741557,684596,638582,592640,710304,1079708,-4.35,4.223793634,4.387949447,3.202132061,7.528225818,-3.545763393,-3.878676334
Brunei Darussalam,26323,35052,45242,45314,44541,45110,45340,73200,84748,96296,98441,100587,102733,111959,1.089420535,4.47870734,2.849421858,0.387507208,2.598965746,-0.39238375,1.13357335
Bulgaria,612960,649430,688682,907821,1106483,1179625,1683074,21510,32435,43360,61074,76287,123803,184363,-9.117377096,2.861232771,4.587224782,7.05634894,1.541801443,3.428054914,-3.958614598
Burkina Faso,1021331,1215665,1279414,1352292,1434528,1518568,1599347,349652,464104,520363,597658,674438,704676,723989,-0.602928478,5.716373863,1.888473889,8.661873228,8.446281577,3.921228794,1.93032489
Cote d'Ivoire,69283,84980,105227,117618,132317,138237,150241,417628,364287,310946,358398,405779,411697,520729,-1.095908412,7.125744724,-0.265789464,0.996065562,6.848049401,7.194090645,1.978821183
Cabo Verde,91363,106954,124823,141984,152863,171429,187558,8931,9979,11027,12700,14373,14924,15788,0.692171874,14.21163626,14.28486883,6.912457988,1.466790097,1.006863707,-14.78340501
Cambodia,355428,418213,459621,674436,953059,1074572,1104819,38375,92230,146085,114096,82028,73962,79341,0,9.903468901,9.993580322,13.25008691,5.963078575,6.965797814,-3.096006731
Cameroon,115835,138936,164296,221232,278898,348974,441015,265967,244791,227242,265503,291474,508346,579209,-6.105697646,2.894001377,3.832417795,2.228270206,2.899024724,5.666952991,0.259932916
Canada,994254,1064305,1142641,1185156,1268057,1263552,1292329,4333318,4864778,5511914,6078985,6761226,7428657,8049323,0,0,5.177635668,3.204200428,3.08949462,0.659176864,-5.233024303
Cayman Islands,994254,1064305,1142641,1185156,1268057,1263552,1292329,4333318,4864778,5511914,6078985,6761226,7428657,8049323,0,0,0,0,-2.715635262,2.833122226,-5.683975615
Central African Republic,46354,49205,55416,131410,245933,686224,816668,67234,99712,123529,96409,94685,81568,88546,-2.147528066,7.200045558,-2.48943244,0.908210515,4.630818432,4.33712103,0.899999997
Chad,336798,223096,206052,210661,202423,191269,222303,74342,89584,104825,352130,417034,466968,547494,-4.178472373,1.236549317,-0.879681025,17.33253374,13.55010086,2.767675685,-1.600006737
Channel Islands,336798,223096,206052,210661,202423,191269,222303,74342,89584,104825,352130,417034,466968,547494,0,0,5.826641097,1.377734278,0,0,0
Chile,493026,499207,511997,541745,571842,618015,643800,107501,142417,177332,276360,375388,639724,1645015,3.333565474,8.933295869,4.971621488,5.837045719,5.851651022,2.1519425,-5.978224062
China,493026,499207,511997,541745,571842,618015,643800,107501,142417,177332,276360,375388,639724,1645015,3.920251368,10.95395434,8.490093406,11.39459181,10.63587106,7.041328879,2.239701857
"Hong Kong SAR, China",156379,246575,342103,448882,587503,729855,985077,270423,149442,28461,27934,27288,38330,39195,3.830526486,2.373808225,7.663484756,7.388194493,6.767671816,2.387831883,-6.545008239
"Macao SAR, China",36108,37875,39762,52806,62048,69366,81757,113795,126106,139750,150618,163142,248888,298062,7.979640521,3.29656332,5.746677091,8.075440076,25.12275964,-21.51440527,-54.23590002
China,493026,499207,511997,541745,571842,618015,643800,107501,142417,177332,276360,375388,639724,1645015,3.920251368,10.95395434,8.490093406,11.39459181,10.63587106,7.041328879,2.239701857
Colombia,1009148,1215967,1433940,1883904,2554020,2698688,3024273,104277,106943,109609,106523,130309,159407,1905393,4.281998331,5.202437593,2.924861483,4.828761108,4.494658971,2.955901375,-7.048151208
Comoros,40079,51290,70502,96143,109125,121749,150823,14079,13939,13799,13209,12618,12555,12496,5.091236413,3.610206432,10.84787862,2.83754787,3.77776675,1.147350761,-0.195556827
"Congo, Rep.",96370,115677,135235,172610,178111,204829,223767,129391,191635,305880,318724,425173,390142,387606,1.000003566,3.985324378,7.575980395,7.755758978,9.931265431,-3.550581765,-6.239319632
Costa Rica,69283,84980,105227,117618,132317,138237,150241,417628,364287,310946,358398,405779,411697,520729,3.553063366,4.153953043,3.868718088,3.976666368,5.36034348,3.652080968,-4.050908171
Croatia,425544,735213,907031,839084,820407,806242,1039526,475438,674085,585298,579273,573248,561093,528056,0,0,2.864066947,4.262862934,-1.223779482,2.522292277,-8.580343021
Cuba,835175,934168,1047789,1160309,1314739,1505827,1757300,34555,26187,18545,11693,7373,4649,3024,-2.948564945,2.457201172,5.914760174,11.20165642,2.390352297,4.438141959,-10.94834097
Curacao,2104,2849,3779,4618,45248,6239,7611,0,0,0,0,34630,37611,57210,0,0,0,0.676425345,0.082306609,0.290948721,-18.43847185
Cyprus,2104,2849,3779,4618,45248,6239,7611,0,0,0,0,34630,37611,57210,7.403999507,8.362469305,5.965310315,4.853003838,2.283544997,3.418923188,-4.372474186
Czechia,564746,620286,723333,752058,779438,819776,1026108,110394,165592,220789,322540,398493,416454,540921,0,6.500813529,4.001028635,6.60161753,2.434902159,5.388380838,-5.502967961
"Korea, Rep.",4053,4246,3991,4021,3565,4127,5103,2162,2223,2283,2487,2868,2919,3126,9.877552502,9.614565393,9.060833325,4.308542714,6.804824918,2.809103268,-0.709415359
"Congo, Rep.",96370,115677,135235,172610,178111,204829,223767,129391,191635,305880,318724,425173,390142,387606,1.000003566,3.985324378,7.575980395,7.755758978,9.931265431,-3.550581765,-6.239319632
Denmark,436513,559824,862039,1130872,1298544,1572222,1832069,754194,1816963,744387,623009,589882,810018,952871,1.475244277,3.027587267,3.746862595,2.336641308,1.870991147,2.342591108,-1.994607569
Djibouti,5308,6964,9055,11987,13797,16969,18365,122221,99774,100507,92110,102307,112351,119738,0,0,0,0,0,7.526108919,1.202022033
Dominica,40563,44210,48275,64037,73583,72585,78191,2519,3121,3723,4744,8110,8093,8284,5.417983566,3.030862602,2.340219321,0.655862269,0.6726344,-2.731503063,-16.60491154
Dominican Republic,458021,667015,889451,1014070,1184417,1454602,1608567,291151,323381,355611,375417,395479,549289,603794,-5.454312395,5.685430737,4.66176228,9.428236947,8.33965106,6.927018772,-6.720239373
Ecuador,214008,326230,446380,986599,1152897,1130774,1127891,78663,115093,151523,189893,375253,387513,784787,3.679914053,2.252548774,1.091801564,5.291308267,3.525298669,0.098872608,-7.787607091
"Egypt, Arab Rep.",1321915,1492004,1708296,1807941,2586643,3151069,3610461,173833,166955,184774,285006,310017,353641,543937,5.667029157,4.64245877,6.370003834,4.471744469,5.147234859,4.372019079,3.569669475
