SubRegion,1990,1995,2000,2005,2010,2015,2020
Eastern Africa,-2190297,-3130050,-1566462,-1780038,-3161703,-3600298,-4766328
Middle Africa,-638585,609225,-897868,-981322,-1076816,-1156281,-1391259
Northern Africa,-2957840,-3841043,-4612166,-6300026,-7370665,-8837735,-9206799
Southern Africa,696561,528863,461977,622997,931446,1271757,1180978
Western Africa,-907606,-1157277,-1440080,-1920727,-2365965,-2840395,-3510748
Central Asia,391453,-662798,-1559518,-1993249,-2300674,-2379853,-2628973
Eastern Asia,-3341417,-3878951,-4415119,-5148548,-6056896,-6905689,-6378600
South-Eastern Asia,-5315808,-6360094,-7327535,-8200936,-9906617,-11201965,-13559942
Southern Asia,-6260704,-7806787,-9728732,-13223201,-20010747,-25865510,-30215954
Western Asia,2919722,3290603,4099754,6292454,12894615,16396008,19376885
Eastern Europe,-3295865,-3310393,-3853085,-6221596,-8852040,-9450200,-11856599
Northern Europe,307929,827389,1266407,2601092,3897559,5665098,6861958
Southern Europe,-6412336,-6015259,-5184751,365698,4427764,3726671,3596092
Western Europe,10255720,12023487,13688499,14363939,15381884,17062502,23513933
Caribbean,-3176166,-3983500,-4819804,-5312712,-6031581,-6741851,-7573279
Central America,-5206512,-8154859,-11137001,-12646839,-14473492,-14472421,-13944325
South America,-203857,-1288784,-2417440,-4511681,-6119434,-5960388,-6965048
Northern America,21694307,28524253,35514488,39559620,44856006,49180400,50275543
Australia and New Zealand,3668959,3828220,4000173,4523565,5446022,6238250,7343169
Melanesia,-27658,-42245,-71737,-88490,-108666,-128100,-150704
