destination,origin,1990,1995,2000,2005,2010,2015,2020
  Eastern Africa,  Middle Africa,370968,450933,756743,788326,800135,1029628,1251025
  Eastern Africa,  Northern Africa,179281,343372,416596,488605,214886,684649,708035
  Eastern Africa,  Southern Africa,36745,47087,50491,59456,63927,63506,66040
  Eastern Africa,  Western Africa,5911,7363,7915,10745,16052,16446,17483
  Eastern Africa,  Central Asia,0,0,0,0,0,0,0
  Eastern Africa,  Eastern Asia,2568,5338,10875,8522,6882,7416,7979
  Eastern Africa,  South-Eastern Asia,104,613,1142,1080,1023,1146,1163
  Eastern Africa,  Southern Asia,17476,21658,27246,37089,48641,52114,52982
  Eastern Africa,  Western Asia,357,325,365,313,359,13364,20660
  Eastern Africa,  Eastern Europe,418,361,337,365,408,425,405
  Eastern Africa,  Northern Europe,24848,23971,29243,25013,17976,17816,18334
  Eastern Africa,  Southern Europe,2602,3314,3769,4862,5459,5675,5796
  Eastern Africa,  Western Europe,50100,63865,82487,95923,104325,109614,117627
  Eastern Africa,  Caribbean,164,162,50,52,55,59,57
  Eastern Africa,  Central America,0,0,0,0,0,0,0
  Eastern Africa,  South America,0,0,0,0,0,0,0
  Eastern Africa, NORTHERN AMERICA,2334,2517,3144,3475,3835,3780,3935
  Eastern Africa,  Australia and New Zealand,148,140,134,196,310,283,373
  Eastern Africa,  Melanesia,0,0,0,0,0,0,0
  Middle Africa,  Eastern Africa,175624,1424589,278904,214925,186610,355514,436882
  Middle Africa,  Northern Africa,49005,63046,76729,288839,320176,348342,401250
  Middle Africa,  Southern Africa,2867,3322,3770,4912,5963,6820,7249
  Middle Africa,  Western Africa,209045,231509,259537,293417,311640,457318,541785
  Middle Africa,  Central Asia,0,0,0,0,0,0,0
  Middle Africa,  Eastern Asia,510,630,837,705,1174,1592,1641
  Middle Africa,  South-Eastern Asia,0,0,0,0,0,0,0
  Middle Africa,  Southern Asia,0,0,0,0,0,0,0
  Middle Africa,  Western Asia,1156,1482,1916,1820,2558,3506,3722
  Middle Africa,  Eastern Europe,953,1106,1487,976,2097,2712,2701
  Middle Africa,  Northern Europe,12,26,37,287,235,279,318
  Middle Africa,  Southern Europe,6292,7406,8649,9012,9312,9513,9287
  Middle Africa,  Western Europe,38476,39957,41944,32984,38995,46570,50500
  Middle Africa,  Caribbean,164,190,266,169,403,536,531
  Middle Africa,  Central America,0,0,0,0,0,0,0
  Middle Africa,  South America,0,0,0,0,0,0,0
  Middle Africa, NORTHERN AMERICA,805,1246,1629,2398,2325,2665,2938
  Middle Africa,  Australia and New Zealand,9,13,16,13,13,10,10
  Middle Africa,  Melanesia,0,0,0,0,0,0,0
  Northern Africa,  Eastern Africa,1106236,912475,723706,460314,571303,630901,1379123
  Northern Africa,  Middle Africa,233083,121032,106674,118689,125021,100188,144667
  Northern Africa,  Southern Africa,1112,952,836,953,1037,961,1180
  Northern Africa,  Western Africa,39277,39098,39825,43038,35266,37818,44777
  Northern Africa,  Central Asia,1180,1540,1955,2195,2400,2453,4512
  Northern Africa,  Eastern Asia,10340,8545,6987,7817,7679,7396,8993
  Northern Africa,  South-Eastern Asia,24461,26615,29521,32341,35342,36218,41271
  Northern Africa,  Southern Asia,9663,10428,11451,12603,12549,12652,14793
  Northern Africa,  Western Asia,360197,429494,520708,603982,649872,784226,903769
  Northern Africa,  Eastern Europe,46742,30468,15172,17066,18561,17067,21115
  Northern Africa,  Northern Europe,18365,14928,12036,13263,14471,14590,16975
  Northern Africa,  Southern Europe,34419,26001,18803,20501,22343,23495,27273
  Northern Africa,  Western Europe,96366,68853,46246,49945,66129,74527,85229
  Northern Africa,  Caribbean,25,24,24,28,30,21,29
  Northern Africa,  Central America,696,700,730,824,902,891,1038
  Northern Africa,  South America,970,747,564,656,711,586,778
  Northern Africa, NORTHERN AMERICA,33018,24473,16833,18544,20397,20420,23989
  Northern Africa,  Australia and New Zealand,2138,1522,963,1099,1195,1109,1361
  Northern Africa,  Melanesia,0,0,0,0,0,0,0
  Southern Africa,  Eastern Africa,540300,518762,508352,681660,1085740,1405000,1433038
  Southern Africa,  Middle Africa,49737,55237,91744,99850,130904,194695,187553
  Southern Africa,  Northern Africa,6450,5156,5084,6157,8501,10683,12321
  Southern Africa,  Western Africa,30465,19994,14714,18368,38034,61977,54455
  Southern Africa,  Central Asia,0,0,0,20,29,37,42
  Southern Africa,  Eastern Asia,19306,16948,17884,22122,22134,21116,21637
  Southern Africa,  South-Eastern Asia,5172,3636,3000,3655,5105,6452,7449
  Southern Africa,  Southern Asia,18755,21037,28528,37036,68586,87170,70109
  Southern Africa,  Western Asia,7079,5686,5882,7520,10783,13805,15988
  Southern Africa,  Eastern Europe,12016,10619,11957,15021,21340,27210,31512
  Southern Africa,  Northern Europe,132789,118220,137616,179747,135043,84701,93943
  Southern Africa,  Southern Europe,39038,33842,38058,49178,51800,53527,62236
  Southern Africa,  Western Europe,88022,65620,57391,67974,63110,58262,67284
  Southern Africa,  Caribbean,2386,2292,2348,2255,2667,3061,3442
  Southern Africa,  Central America,333,244,229,300,435,559,647
  Southern Africa,  South America,4216,3677,3975,4797,6663,8396,9685
  Southern Africa, NORTHERN AMERICA,15132,11820,11536,14797,14926,14834,17196
  Southern Africa,  Australia and New Zealand,6600,5273,5249,6589,9743,9096,10626
  Southern Africa,  Melanesia,106,65,45,57,82,105,121
